Hospital_Name,Location,Location_Coordinates,State,District,Discipline_Systems_of_Medicine,Lat,Lon
GMERS Medical College,"GMERS Medical Collage, 
Sola, SG Highway, Ahmedabad 
","23.022505, 72.5713621",Gujarat,Ahmedabad,Allopathic,23.022505,72.5713621
Pulse Women's Hospital,"108, Swastik Society, B/H St Xavier's Ladies Hostel, Navrangpura, Ahmedabad","23.0365437, 72.5611395",Gujarat,Ahmedabad,Allopathic,23.0365437,72.5611395
"Centre For Sight, Ahmedabad","101, White Cross, 15, Patel Society, Gulbai Tekra, Ahmedabad","23.0271349, 72.5515384",Gujarat,Ahmedabad,Allopathic,23.0271349,72.5515384
Hemato Oncology Clinic Pvt.Ltd.,"Vedanta Institute of Medical Sciences 1st Floor, Stadium Commerce Collage Road, Navrangpura","23.0365437, 72.5611395",Gujarat,Ahmedabad,Allopathic,23.0365437,72.5611395
"Dhwani General Hospital, Nursing Home and Materity Home","28, New Kamlesh Society, Arbudanagar Road, Odhav","23.0100698, 72.6450387",Gujarat,Ahmedabad,Allopathic,23.0100698,72.6450387
Life Care Emergency Centre,"Near.Jain Derasar, Borsalli Appartment Road, Nr.Cama Hotel, Khanpur","28.6491211, 70.6514213",Gujarat,Ahmedabad,Allopathic,28.6491211,70.6514213
Parekhs Hospital Pvt.Ltd,"132, Feet Ring Road, Shyamal Cross Road, Satellite","23.0141755, 72.5316915",Gujarat,Ahmedabad,Allopathic,23.0141755,72.5316915
Aims Hospital,"Nr Jethabhai Park, Shantivan, Narayan Nagar Road, Paldi","22.9995425, 72.5566256",Gujarat,Ahmedabad,Allopathic,22.9995425,72.5566256
CGHS Dispensary No.3,"CGHS Dispensary No.3, 1, Jeevan Prakash
Society, Darpan Six Roads, Nr.St.Xaviers School Road, Navrangpura","23.0365437, 72.5611395",Gujarat,Ahmedabad,Allopathic,23.0365437,72.5611395
CGHS Dispensary No.4,"CGHS Dispensary No.4, Qtr.No.M/49/289, 290, Pragatinagar, Naranpura","23.0673142, 72.5567139",Gujarat,Ahmedabad,Allopathic,23.0673142,72.5567139
Aashirwad Surgical Hospital and Nursing Home,"2nd Floor, Neelkamal Complex, Ramnagar","29.3947643, 79.1264997",Gujarat,Ahmedabad,Allopathic,29.3947643,79.1264997
Ansuya General Hospital,"4, Ratna Bhuvan, Daxini Society, Maninagar Railway Crossing","22.9940097, 72.6075777",Gujarat,Ahmedabad,Allopathic,22.9940097,72.6075777
C.H.Nagri Eye Hospital,"Ellisbridge, Ahmedabad","23.0262331, 72.5623124",Gujarat,Ahmedabad,Allopathic,23.0262331,72.5623124
Clear Vision Eye Hospital (Unit 3),"Above Tapan Medical Store, Opp L G Hospital, Maninagar","22.9961698, 72.5995843",Gujarat,Ahmedabad,Allopathic,22.9961698,72.5995843
Dev Hospital,"Kesariyaji Bus Stop, Jivraj Mehta Road, Vasna","23.0056634, 72.5452848",Gujarat,Ahmedabad,Allopathic,23.0056634,72.5452848
Devasya Kidney and Multi speciality Hospital,"Nr.Bhimajipura Cross Roads, 
Nava Vadaj Road","23.0614938, 72.5696557",Gujarat,Ahmedabad,Allopathic,23.0614938,72.5696557
Dharmanandan Surgical Hospital,"2nd floor, Avani Avenue, Manohar villa cross roads, Nikol-Naroda road, Nava Naroda","23.0638657, 72.6636635",Gujarat,Ahmedabad,Allopathic,23.0638657,72.6636635
Divyajyot Eye Hospital,"316 Orange Mall, 
3rd Floor, Nr.Sharda Petrol Pump, 
Nr Amts Bus Stop, 
Chandkheda","23.1115671, 72.5727621",Gujarat,Ahmedabad,Allopathic,23.1115671,72.5727621
Doctor House,"Station road, Dhandhuka","22.2402163, 71.9188428",Gujarat,Ahmedabad,Allopathic,22.2402163,71.9188428
Dr.Atul Shah Eye Hospital,"3rd Floor, Narottam Complex, 
Sola Rd, Visharam Nagar, Memnagar","23.0615268, 72.5344732",Gujarat,Ahmedabad,Allopathic,23.0615268,72.5344732
Dr.Saurabh Shah Orthopaedic Hospital,"3/B, Hasmukh Colony, Vijaynagar Road","23.0568889, 72.5607879",Gujarat,Ahmedabad,Allopathic,23.0568889,72.5607879
Grace Endoscopy (Division of WINGS Hospital),"2, Sumanglam Society","23.022505, 72.5713621",Gujarat,Ahmedabad,Allopathic,23.022505,72.5713621
Pallav J M Desai Memorial Hospital (Better Health Pvt.Ltd.),"Alankar Complex, Nr.Old Railway Crossing Maninagar (East)","22.994729, 72.613694",Gujarat,Ahmedabad,Allopathic,22.994729,72.613694
Janam Maternity General Hospital,"Madhav Complex, Near Police Station Road, Sanand","22.9912897, 72.3755085",Gujarat,Ahmedabad,Allopathic,22.9912897,72.3755085
Jivandeep Hospital,"Opposite Shree Ram market, Lokdiya Sheri, Dholka","22.7428431, 72.4435674",Gujarat,Ahmedabad,Allopathic,22.7428431,72.4435674
Joitiba General Hospital,"Akshar Avenue, Cadilla Bridge Corner, Ghodasar","22.9839274, 72.6102337",Gujarat,Ahmedabad,Allopathic,22.9839274,72.6102337
Kiran Surgical Hospital,"301, Pratham Mangal Complex","23.0011871, 72.5467567",Gujarat,Ahmedabad,Allopathic,23.0011871,72.5467567
Krishna Shalby Hospital,"319, Green City, Ghuma, Village Bopal","23.2599333, 77.412615",Gujarat,Ahmedabad,Allopathic,23.2599333,77.412615
Kunal Medical Hospital,"C/101, Shreepal Complex, Hatkeshwar, Ahmedabad","22.9897281, 72.628422",Gujarat,Ahmedabad,Allopathic,22.9897281,72.628422
Lady Care Womens Hospital Child Care,"2nd Floor B-Block, Swaminarayan Avenue AEC Cross Road Naranpura","23.0551934, 72.5585003",Gujarat,Ahmedabad,Allopathic,23.0551934,72.5585003
Life Care Institute Of Medical Sciences Research Pvt Ltd,"Sardar Patel Statue, Stadium Road, Ahmedabad","23.0448507, 72.5620668",Gujarat,Ahmedabad,Allopathic,23.0448507,72.5620668
Mahin Lifecare Services Pvt.Ltd,"1st Floor, Royal Nawab Avenue, Sarkhej Road, Juhanpura","22.9931222, 72.5256718",Gujarat,Ahmedabad,Allopathic,22.9931222,72.5256718
Matulya ENT Clinic,"301, B, Himalaya Emerald, besides IOC petrol pump, 132 Feet Ring Rd, Jodhpur, Satellite","23.0273062, 72.5217587",Gujarat,Ahmedabad,Allopathic,23.0273062,72.5217587
Navjeevan Care Home Guj Pvt.Ltd.,"Above Balubhai Motors, Nr.Sapna Theatre, Ghodka Roads, Sarkhej","22.9797708, 72.4927108",Gujarat,Ahmedabad,Allopathic,22.9797708,72.4927108
Navjeevan Doctor House,"Near Gadhiya Cross Road, Sanand Bavla Road, Sanand","22.9912897, 72.3755085",Gujarat,Ahmedabad,Allopathic,22.9912897,72.3755085
Navkar Hospital,"Navkar Complex, Near Shreyas Railway Crossing Ambawadi","23.0128032, 72.5457093",Gujarat,Ahmedabad,Allopathic,23.0128032,72.5457093
Netra Raksha Hospital,"Trimurti Complex, Thakkarbapa Nagar Road, Approach India Colony","23.0391535, 72.6383416",Gujarat,Ahmedabad,Allopathic,23.0391535,72.6383416
Nova Pulse Ivf Clinic Ahmedabad Pvt.Ltd.,"108, Swastik Society","23.0390208, 72.5611501",Gujarat,Ahmedabad,Allopathic,23.0390208,72.5611501
P.H.C.KOTH,"Koth, Dholka","22.7428431, 72.4435674",Gujarat,Ahmedabad,Allopathic,22.7428431,72.4435674
Parth Maternity and Medical Nursing Home,"Shri Krishna Tower, Near Cine Pride Talkies, National Highway - 8 Narol-Naroda Road, Krishna Nagar","23.0498389, 72.6242648",Gujarat,Ahmedabad,Allopathic,23.0498389,72.6242648
PHC Kuha,"Kuha, ta.Dakroi","23.022505, 72.5713621",Gujarat,Ahmedabad,Allopathic,23.022505,72.5713621
PHC Vataman,"Vataman, Dhokla","23.022505, 72.5713621",Gujarat,Ahmedabad,Allopathic,23.022505,72.5713621
Pooja Hospital,"33, Parnkunj Society","23.022505, 72.5713621",Gujarat,Ahmedabad,Allopathic,23.022505,72.5713621
Poojan Children Hospital and Neonetal Centre,"1st Floor, Vaibhav Complex","18.5013128, 73.9301982",Gujarat,Ahmedabad,Allopathic,18.5013128,73.9301982
Pruthvi Medical Nursing Home and Heart Centre,"1st Floor, Saptarshi Complex, Near Sardar Patel Bavla, Naranpura","23.0551934, 72.5585003",Gujarat,Ahmedabad,Allopathic,23.0551934,72.5585003
Pushpa Children Hospital and Critical Care Centre,"302 Vitthal Mall, Nr Chandkheda Eng.College, Chandkheda","23.1115671, 72.5727621",Gujarat,Ahmedabad,Allopathic,23.1115671,72.5727621
Raj Ent Hospital,"Dhananjibhai Complex, B Block, Near Naranpura Railway Crossing","22.9943678, 72.6131219",Gujarat,Ahmedabad,Allopathic,22.9943678,72.6131219
Rhythm Cardio Pulmonory Care Centre and Medical Hospital,"F.F and 2nd Floor, Shashwat Complex, Naranpura Croos Road","23.0381279, 72.5591927",Gujarat,Ahmedabad,Allopathic,23.0381279,72.5591927
Rudraksh Hospital,"Near S.T.Workshop Naroda Road, Patiya, Naroda","23.065368, 72.643426",Gujarat,Ahmedabad,Allopathic,23.065368,72.643426
Sagar Orthopaedic Hospital,"Vallabhnagar Flats, 3/25, Bapunagar, Char Rasta, Bapunagar","23.0348745, 72.6294565",Gujarat,Ahmedabad,Allopathic,23.0348745,72.6294565
Sahajanand Eye Care Hospital,"4th Floor, Dolly Complex, Stadium Cross-roads, Navrangpura","23.0365437, 72.5611395",Gujarat,Ahmedabad,Allopathic,23.0365437,72.5611395
Sahyog General Hospital,"Nr.Shantipura Ring Road Circle, Sarkhej-Sanand Highway, Sarkhej","22.9852441, 72.4942028",Gujarat,Ahmedabad,Allopathic,22.9852441,72.4942028
Sal Hospital and Medical Institute,Opposite Doordarshan Tower Drive In Road,"23.0485481, 72.5238414",Gujarat,Ahmedabad,Allopathic,23.0485481,72.5238414
Samata Hospital Pvt.Ltd,"2nd Floor, Silver Star Complex, Chandlodia-Gota Road","23.1059134, 72.5252884",Gujarat,Ahmedabad,Allopathic,23.1059134,72.5252884
Sanjivani Eye Hospital and Phaco Centre,"3rd Floor, Soham Complex, Near Navrang, Six Road, Navrangpura","23.0348708, 72.5663963",Gujarat,Ahmedabad,Allopathic,23.0348708,72.5663963
Sanjivani Hospital,"Viramgam Bazar, Viramgam","23.1236377, 72.0527421",Gujarat,Ahmedabad,Allopathic,23.1236377,72.0527421
Jaydeep Hospital,"403-404, B-Block Rudra Arcade, Besides May Flower Hospital, Helmet Char Rasta, Memnagar","23.0456055, 72.5424529",Gujarat,Ahmedabad,Allopathic,23.0456055,72.5424529
Bopal Multispeciality Hospital,"17-18, Abhinandan Complex, Opposite Inductotherm Factory, Bopal","23.2599333, 77.412615",Gujarat,Ahmedabad,Allopathic,23.2599333,77.412615
CHC Chandkheda,"Nr.Manikrupa School, I.O.C.Road, Chadkheda","23.1126977, 72.5759444",Gujarat,Ahmedabad,Allopathic,23.1126977,72.5759444
CHC Detroj,At Po.Detroj,"23.3333915, 72.1875193",Gujarat,Ahmedabad,Allopathic,23.3333915,72.1875193
CHC Dholka,"Opposite Minaben Tower, Dholka, Ahmedabad","22.7428431, 72.4435674",Gujarat,Ahmedabad,Allopathic,22.7428431,72.4435674
CHC Sanand,"Referral Hospital/Samuhik Aarogya Kendra, Singarva, Ahmedabad","23.0247726, 72.6970077",Gujarat,Ahmedabad,Allopathic,23.0247726,72.6970077
CHC Sarkhej,"Opp ITI, Sarkhej Gam, Sarkhej","22.9761405, 72.5022216",Gujarat,Ahmedabad,Allopathic,22.9761405,72.5022216
CHC Singarva,"Referral Hospital/Samuhik Aarogya Kendra, Singarva","23.0247726, 72.6970077",Gujarat,Ahmedabad,Allopathic,23.0247726,72.6970077
CHC Viramgam,"Referral Hospital/Samuhik Aarogya Kendra, Viramgam","23.1236377, 72.0527421",Gujarat,Ahmedabad,Allopathic,23.1236377,72.0527421
Pramukhswami Medical College,"Charutar Arogya Mandal, Gokalnagar, P.O.Karmsad Karamsad","22.5429215, 72.9017603",Gujarat,Anand,Allopathic,22.5429215,72.9017603
Eye-Q Super Speciality Eye Hospitals,"1st Floor, Modi Compound, Panch batti, Bharuch","21.7051358, 72.9958748",Gujarat,Bharuch,Allopathic,21.7051358,72.9958748
"Centre For Sight, Bhavnagar","E/11-12, Center Point, Near V Mart Circle, Gogh Circle, Bhavnagar

","21.7644725, 72.1519304",Gujarat,Bhavnagar,Allopathic,21.7644725,72.1519304
"Government Medical College, Bhavnagar","Sir T.Hospital Campus, 
Dr H Vaidya Road, Jail Road, Kalanala, Bhavnagar","21.763636, 72.1370682",Gujarat,Bhavnagar,Allopathic,21.763636,72.1370682
Lara Hospital,"Nawa Bazaar Road, Godhra-GPO, Godhra","22.7788044, 73.6142795",Gujarat,Panchmahal,Allopathic,22.7788044,73.6142795
M.P. Shah Medical College,"Pt.Nehru Road, Jamnagar","22.4826725, 70.0585581",Gujarat,Jamnagar,Allopathic,22.4826725,70.0585581
"Centre For Sight, Jamnagar","Adarsh Hospital, Wakeshainhggari, Jamnagar","22.4707019, 70.05773",Gujarat,Jamnagar,Allopathic,22.4707019,70.05773
Sanand Hospital and Trauma Centre,"Navdurga Complex, Bavla Road, Nr.Gadhiya Cross Roads, Sanand","22.9912897, 72.3755085",Gujarat,Ahmedabad,Allopathic,22.9912897,72.3755085
Sanand Janta Multispeciality Hospital,"Sanand Bavla Road, Sanand","22.9912897, 72.3755085",Gujarat,Ahmedabad,Allopathic,22.9912897,72.3755085
"Government Medical College, Surat","Majura Gate, Surat","21.2228964, 72.8869246",Gujarat,Surat,Allopathic,21.2228964,72.8869246
Care Hospitals,"OppositeDhiraj Sons, Athwa Gate Circle, Gajrawadi, Surat","21.1702401, 72.8310607",Gujarat,Surat,Allopathic,21.1702401,72.8310607
"Eye-Q Super Speciality Eye Hospitals, Rander Road","2nd-3rd Floor, Raina Arcade, 
Near Navyug College, 
Rander, Surat, Gujarat","21.2158948, 72.7958477",Gujarat,Surat,Allopathic,21.2158948,72.7958477
"Eye-Q Super Speciality Eye Hospitals, Udhana","2nd Floor, SNS House, 
Udhana Teen Rasta, Opposite Silicon Shoppers, Udhana Main Road, 
Udhana, Surat","21.1431152, 72.8431097",Gujarat,Surat,Allopathic,21.1431152,72.8431097
"Centre For Sight, Surendranagar","Ground Floor, Suchi Complex, 
Near Dudhrej Crossing.
Surendranagar","22.7325105, 71.6277061",Gujarat,Surendranagar,Allopathic,22.7325105,71.6277061
"Smt. B.K. Shah Medical Institute and Research Centre, Piparia, Wabghodia","PipariaTal, Wabghodia, Vadodara","22.3071588, 73.1812187",Gujarat,Vadodara,Allopathic,22.3071588,73.1812187
"Eye-Q Super Speciality Eye Hospitals, BPC Road","2nd-3rd Floor, Jaylaxmi Complex, 
4-Anand Nagar society, Jetalpur, BPC Road, Vadodara
","22.3088457, 73.173969",Gujarat,Vadodara,Allopathic,22.3088457,73.173969
"Eye-Q Super Speciality Eye Hospitals, Fatehgunj","Silver Bell Complex, Fatehgunj, 
Vadodara","22.3236543, 73.1897571",Gujarat,Vadodara,Allopathic,22.3236543,73.1897571
"Centre For Sight, Manjalpur","GF-1/2, Shalin Complex, Near Ramesh party plot, Darbar Chokdi Road, Manjalpur, Vadodara
","22.2742572, 73.1884402",Gujarat,Vadodara,Allopathic,22.2742572,73.1884402
"Centre For Sight, Allkapuri","229, Siddhartha Complex, R.C.Dutt Road, Alkapuri, Vadodara Branch 1","22.2942783, 73.1363417",Gujarat,Vadodara,Allopathic,22.2942783,73.1363417
"GMERS Medical College and Hospital, Gotri","Gotri Main Road, (Old TB Hospital Campus), Vadodara","22.3071588, 73.1812187",Gujarat,Vadodara,Allopathic,22.3071588,73.1812187
"Centre For Sight, Allkapuri 2","303, Siddhartha Complex, R.C.Dutt Road, Alkapuri, Vadodara Branch 2","22.2956941, 73.1345904",Gujarat,Vadodara,Allopathic,22.2956941,73.1345904
"CGHS Dispensary, Gurgaon","482/16, Civil Lines","28.4576161, 77.0287188",Haryana,Gurgaon,Allopathic,28.4576161,77.0287188
Dr. Nagi Clinic,"Gali Darzian Wali, Ambala","30.3781788, 76.7766974",Haryana,Ambala,Allopathic,30.3781788,76.7766974
Leelawati Hospital,"9, Inder Nagar, Near Arya Chowk, Police Lines Road, Ambala City
","30.3781788, 76.7766974",Haryana,Ambala,Allopathic,30.3781788,76.7766974
Narain Hospital,"42, Manauli House, Jail Road, Ambala City","30.3717157, 76.7876854",Haryana,Ambala,Allopathic,30.3717157,76.7876854
P.C.Sharma Advance Eye Care Centre,"Arya Chowk, Near Telephone Exchange, 
Ambala City","30.3781788, 76.7766974",Haryana,Ambala,Allopathic,30.3781788,76.7766974
Bansal Eye Hospital,"889, Urban Estate Sector 7 Ambala City","30.3734372, 76.7783748",Haryana,Ambala,Allopathic,30.3734372,76.7783748
Bansal hospital,"Mixi chowk, Near Kalka chowk, Ambala city
","30.3781788, 76.7766974",Haryana,Ambala,Allopathic,30.3781788,76.7766974
Healing Touch Superspeciality Hospital,"Sultanpur Chowk, Near.Dhulkot Barrier, 
Ambala-Chandigarh Highway","30.5175306, 76.8087557",Haryana,Ambala,Allopathic,30.5175306,76.8087557
Jaspal Hospital,"69, Model Town, Ambala City","30.3638896, 76.7956825",Haryana,Ambala,Allopathic,30.3638896,76.7956825
Mehnidratta Hospital,"Manali house, Near Prem Nagar, Ambala City","30.3711033, 76.7866684",Haryana,Ambala,Allopathic,30.3711033,76.7866684
Sanjivni Eye Care,"Near INCO, Opp Ambala Club, Model Town, Ambala City
","30.3638896, 76.7956825",Haryana,Ambala,Allopathic,30.3638896,76.7956825
"ESI Hospital, Bhiwani","Jail Road, Bhiwani","28.7990445, 76.1335112",Haryana,Bhiwani,Allopathic,28.7990445,76.1335112
"Eye-Q Super Speciality Eye Hospitals, Bhiwani","Near Rohtak Gate, Dadri Road
","28.719497, 76.3034857",Haryana,Bhiwani,Allopathic,28.719497,76.3034857
MK Hospital,"5th Milestone, Delhi Bhiwani Road, 
Bhiwani","19.2687576, 73.0458775",Haryana,Bhiwani,Allopathic,19.2687576,73.0458775
Dhir Hospital,"Meham Chowk, Circular Road, Bhiwani 
","28.7990445, 76.1335112",Haryana,Bhiwani,Allopathic,28.7990445,76.1335112
"Aster eye care, Faridabad","DM Eye Care (Delhi) Pvt.Ltd. 
5E/08, B.P, Railway Road, NIT 
Faridabad","28.4056325, 77.305108",Haryana,Faridabad,Allopathic,28.4056325,77.305108
"RG Stone Urology and Laparoscopy Hospital, Faridabad","A-6, Nehru Ground, Neelam Bata Road, NIT, Faridabad","28.3893131, 77.3073612",Haryana,Faridabad,Allopathic,28.3893131,77.3073612
Drishti Eye Centre,"20-21F, Fruit Garden, Railway road, 
Near.Green Automobile, 
NIT Faridabad, Delhi -NCR
","28.6139391, 77.2090212",Haryana,Faridabad,Allopathic,28.6139391,77.2090212
Lakhotia Eye Centre and Laser Institute,"C-4, Main Market, Sector-37, Faridabad, Delhi -NCR, Haryana","28.6139391, 77.2090212",Haryana,Faridabad,Allopathic,28.6139391,77.2090212
Fortis Escorts Hospital,"Neelam Bata Road, 
Faridabad, Delhi","28.3882301, 77.3069287",Haryana,Faridabad,Allopathic,28.3882301,77.3069287
Valencia Emergency and Critical Care,"5/37, Sec.37, Faridabad
","28.5878501, 77.4027753",Haryana,Faridabad,Allopathic,28.5878501,77.4027753
Perfect Vision,"SCF 45, Main Market, Sector 15, 
Faridabad","28.3952729, 77.3238274",Haryana,Faridabad,Allopathic,28.3952729,77.3238274
Gold Field Hospital and Research Center,"Vill.Chhainsa, Ballabgarh, Faridabad
, Delhi","28.6139391, 77.2090212",Haryana,Faridabad,Allopathic,28.6139391,77.2090212
"ESI Hospital, NH-3","NH-3, ESIC Building, 
NIT Faridabad, Delhi- NCR","43.1938516, -71.5723953",Haryana,Faridabad,Allopathic,43.1938516,-71.5723953
"Eye-Q Super Speciality Eye Hospitals, Fatehabad","H.No.7-8, Model Town, Near Bus Stand, Fatehabad
","29.5143382, 75.4503181",Haryana,Fatehabad,Allopathic,29.5143382,75.4503181
Arora Eye Hospital and Laser Centre,"Model Town, Fatehabad","29.5168326, 75.444669",Haryana,Fatehabad,Allopathic,29.5168326,75.444669
Artemis Health Institute,"J - Block, Mayfield Gardens, Sector-51, Near Cyber Park, Gurgaon","28.4594965, 77.0266383",Haryana,Gurgaon,Allopathic,28.4594965,77.0266383
"Metro Hospital and Heart Institute, Gurgaon","H - Block, Palam Vihar
Gurgaon, Delhi -NCR","28.5003715, 77.0414187",Haryana,Gurgaon,Allopathic,28.5003715,77.0414187
Neelkanth Hospital,"Mehrauli, Gurgaon Road, Near D.L.F.Corporate Park, Phase-III, Gurgaon, Delhi -NCR","28.6139391, 77.2090212",Haryana,Gurgaon,Allopathic,28.6139391,77.2090212
Sahaj Dental Clinic,"A-105, Super Mart - I, DLF City, Phase - IV, Gurgaon, Delhi -NCR","28.6139391, 77.2090212",Haryana,Gurgaon,Allopathic,28.6139391,77.2090212
Kathuria Hospital,"19/8, Model Town, Opp SD School, Khandsa Road, Gurgaon","28.4348057, 77.0032153",Haryana,Gurgaon,Allopathic,28.4348057,77.0032153
"Anand Hospital
","171, Sector-56, Gurgaon, Delhi -NCR","28.4428081, 77.0126957",Haryana,Gurgaon,Allopathic,28.4428081,77.0126957
The Cradle,"SCO - 1, 2 and 3 Sector -14
Gurgaon","28.4594965, 77.0266383",Haryana,Gurgaon,Allopathic,28.4594965,77.0266383
"Paras Hospitals

","C-1 Sushant Lok- 1 Sector-43 
Phase- I Gurgaon","28.4749852, 77.0756754",Haryana,Gurgaon,"Allopathic, Ayush/ Ayurveda",28.4749852,77.0756754
Ahooja Eye and Dental Institute,"560/1, Dayanand Colony
New Railway Road
Gurgaon","28.4636592, 77.0302472",Haryana,Gurgaon,Allopathic,28.4636592,77.0302472
Arihant Hospital,"G-121, Oriental Villa, Sushant Lok III
, Sector 57, Gurgaon
","28.4219753, 77.0791496",Haryana,Gurgaon,Allopathic,28.4219753,77.0791496
Artemis Health Institute / Arth Medical Centre,"Sector - 51 Gurgaon, Delhi- NCR","28.429647, 77.06652",Haryana,Gurgaon,Allopathic,28.429647,77.06652
Bhardwaj Hospital,"Plot No - E / 1, Near Sunday Market
Main Bajgerah Road, Rajendra Park, Gurgaon
","28.492663, 77.0060658",Haryana,Gurgaon,Allopathic,28.492663,77.0060658
Lall Eye Care Centre,"New Railway Road
","28.4683613, 77.0255377",Haryana,Gurgaon,Allopathic,28.4683613,77.0255377
Lall Nursing and Maternity Home,"3654, New Railway Road","28.4669288, 77.0271478",Haryana,Gurgaon,Allopathic,28.4669288,77.0271478
Malik Hospital,Arjun Marg,"28.4663599, 77.1003219",Haryana,Gurgaon,Allopathic,28.4663599,77.1003219
Mayom Hospital,"D - Block, South City 1","-37.7052598, 175.2082123",Haryana,Gurgaon,Allopathic,-37.7052598,175.2082123
"Alchemist Hospital, Gurgaon","Sec 53, Saraswati Kunj, DLF Golf Course Road","28.4473955, 77.0962582",Haryana,Gurgaon,Allopathic,28.4473955,77.0962582
Sethi Hospital,"301-302/4, Model Town, Basai Road","28.4567795, 77.0219311",Haryana,Gurgaon,Allopathic,28.4567795,77.0219311
Shri Balaji Hospital and Trauma Centre,"Sector 9-10, Basai Road, Basai Chowk","28.4573069, 76.9904789",Haryana,Gurgaon,Allopathic,28.4573069,76.9904789
Sitaram Bhartia Clinic,"Galleria, DLF city, Phase-IV

","28.4677684, 77.0812587",Haryana,Gurgaon,Allopathic,28.4677684,77.0812587
Sunrise Hospital,"Khandsa Road, Near Sector 10A","28.4437428, 77.0111419",Haryana,Gurgaon,Allopathic,28.4437428,77.0111419
The Dental Lounge,"83, Arjun Marg, DLF Phase-1","28.4668715, 77.0977331",Haryana,Gurgaon,Allopathic,28.4668715,77.0977331
Nova Care Clinic,New Railway Road,"28.4683613, 77.0255377",Haryana,Gurgaon,Allopathic,28.4683613,77.0255377
"Centre For Sight, Gurgaon, New Railway Road","Plot 399/1, New railway road","28.673523, 77.3163754",Haryana,Gurgaon,Allopathic,28.673523,77.3163754
Privat Hospital,"DLF City-II, M.G.Road Gurgaon, Haryana, Near MG Metro Station","28.479881, 77.080826",Haryana,Gurgaon,Allopathic,28.479881,77.080826
"World Laparoscopy Hospital,","Cyber City, DLF Phase II","28.4936018, 77.088325",Haryana,Gurgaon,Allopathic,28.4936018,77.088325
"Rockland Manesar, Gurgaon","Plot No.P-2, Sector-5, IMT, Manesar","28.3688093, 76.9268541",Haryana,Gurgaon,Allopathic,28.3688093,76.9268541
"Eye-Q Super Speciality Eye Hospitals, Hisar, Barwala Road","H.No-433/9C/2, Tayal Garden, Barwala Road","29.1694579, 75.7268204",Haryana,Hisar,Allopathic,29.1694579,75.7268204
Jawa Children Hospital,"Child Care Centre, Sector-13","28.6452089, 77.3447853",Haryana,Hisar,Allopathic,28.6452089,77.3447853
National Fertility and Test Tube Baby Centre,"Tayal Garden, Barwala Road","29.1694579, 75.7268204",Haryana,Hisar,Allopathic,29.1694579,75.7268204
Geetanjali Hospital,"270-N, Gurudwara Road, Near Post Office, Model Town","29.3869559, 76.9564629",Haryana,Hisar,Allopathic,29.3869559,76.9564629
Jindal Institute of Medical Sciences,Model Town,"29.1339562, 75.7422368",Haryana,Hisar,Allopathic,29.1339562,75.7422368
Khetarpaul Hospital,"S.C.F 211, C.U.E.1, Green Square","29.9577612, 31.2752291",Haryana,Hisar,Allopathic,29.9577612,31.2752291
Sharma Nursing Home,"Prem Nagar
","29.1538909, 75.7160693",Haryana,Hisar,Allopathic,29.1538909,75.7160693
Central Medical Centre (CMC),"Near Dabra Chowk, Delhi Road","29.1517831, 75.7257012",Haryana,Hisar,Allopathic,29.1517831,75.7257012
Shanti Ano-Rectal Hospital,"Jindal Chowk, Model Town
","29.1345683, 75.7473837",Haryana,Hisar,Allopathic,29.1345683,75.7473837
Shanti Ano-Rectal Hospital and Kshar Sutra Centre,"Subhash park, Jindal Chowk","29.133643, 75.747238",Haryana,Hisar,Allopathic,29.133643,75.747238
Gangaputra Hospital and Research Centre,"Kaithal Road, Kandela","29.7856734, 76.3984537",Haryana,Jind,"Allopathic, Ayush/ Ayurveda/ Unani/ Homeopathy",29.7856734,76.3984537
Dr. Meenakshi Jain Hospital,"55/6, Gandhi Nagar, Near Telegraph Office","12.9831164, 80.2207518",Haryana,Jind,Allopathic,12.9831164,80.2207518
Arora Eye and Lasik Laser Centre,"650, Sector- 7, Urban State","29.9689992, 76.873699",Haryana,Karnal,Allopathic,29.9689992,76.873699
Karnal Nursing Home,"26, Duggal Colony","29.6956184, 76.9914875",Haryana,Karnal,Allopathic,29.6956184,76.9914875
"Life Care Hospital, Karnal","Main Market, Sector 7","28.5685947, 77.1721518",Haryana,Karnal,Allopathic,28.5685947,77.1721518
Tagore Hospital,"H N- 7, Sector, Urban Estate","29.9702709, 76.8736988",Haryana,Karnal,Allopathic,29.9702709,76.8736988
R P Stone Clinic Pvt.Ltd..Karnal,"37-38, Sector-14, Urban Estate","30.678704, 76.844589",Haryana,Karnal,Allopathic,30.678704,76.844589
Sidharth Hospital,"Ladwa Road, Shahbad Markanda","30.15764, 76.8766024",Haryana,Kurukshetra,Allopathic,30.15764,76.8766024
Saraswati Mission Hospital,Ambala Road Pehowa,"30.0885435, 76.5474705",Haryana,Kurukshetra,Allopathic,30.0885435,76.5474705
Om Spero Hospital,"56 KM Stone, NH-2, Delhi-Mathura Road, Palwal","28.1487362, 77.3320262",Haryana,Palwal,Allopathic,28.1487362,77.3320262
Dr. Baglas Nursing Home,Delhi Mathura Road,"28.1487362, 77.3320262",Haryana,Palwal,Allopathic,28.1487362,77.3320262
Perfect Vision Eye Centre,"1056/C-4-A, Bye Pass Road, Adjoining Punjab National Bank, 
Rasoolpur Chowk, Palwal 
","28.1487362, 77.3320262",Haryana,Palwal,Allopathic,28.1487362,77.3320262
